SOFTABS Experiment
/data/homezvol0/dailinh/HD-MANN/data_generator.py:63: FutureWarning: arrays to stack must be passed as a "sequence" type such as list or tuple. Support for non-sequence iterables such as generators is deprecated as of NumPy 1.16 and will raise an error in the future.
  query_labels = np.vstack(query_labels)
train loss = 0.7581347823143005
val acc = 0.38059375
train loss = 0.7239405512809753
val acc = 0.55909375
train loss = 0.7649083137512207
val acc = 0.59340625
train loss = 0.734545111656189
val acc = 0.5586875
train loss = 0.7333847880363464
val acc = 0.6240625
train loss = 0.7060543894767761
val acc = 0.64203125
train loss = 0.7052120566368103
val acc = 0.6699375
train loss = 0.7387450337409973
val acc = 0.6533125
Traceback (most recent call last):
  File "main.py", line 1, in <module>
    import torch
ModuleNotFoundError: No module named 'torch'
SOFTABS Experiment
/data/homezvol0/dailinh/HD-MANN/data_generator.py:63: FutureWarning: arrays to stack must be passed as a "sequence" type such as list or tuple. Support for non-sequence iterables such as generators is deprecated as of NumPy 1.16 and will raise an error in the future.
  query_labels = np.vstack(query_labels)
train loss = 0.7581349015235901
val acc = 0.354875
train loss = 0.707209587097168
val acc = 0.5340625
train loss = 0.7580400705337524
val acc = 0.6025625
train loss = 0.7142750024795532
val acc = 0.60040625
train loss = 0.7409374117851257
val acc = 0.64278125
train loss = 0.7149801850318909
val acc = 0.654875
train loss = 0.7150323987007141
val acc = 0.686
train loss = 0.7351998686790466
val acc = 0.6884375
train loss = 0.724195122718811
val acc = 0.7111875
train loss = 0.6892973780632019
val acc = 0.707625
train loss = 0.7224599719047546
val acc = 0.7196875
train loss = 0.7037081718444824
val acc = 0.72575
train loss = 0.7370682954788208
val acc = 0.735375
train loss = 0.6719121336936951
val acc = 0.739875
train loss = 0.675150990486145
val acc = 0.74309375
train loss = 0.6969035863876343
val acc = 0.767875
train loss = 0.6758739948272705
val acc = 0.7644375
train loss = 0.72062087059021
val acc = 0.7823125
train loss = 0.6946031451225281
val acc = 0.7829375
train loss = 0.6883602738380432
val acc = 0.78634375
train loss = 0.6860863566398621
val acc = 0.7916875
train loss = 0.7202330231666565
val acc = 0.80228125
train loss = 0.7012144923210144
val acc = 0.8025625
train loss = 0.7175266146659851
val acc = 0.8
train loss = 0.6803612112998962
val acc = 0.814375
train loss = 0.7153844237327576
val acc = 0.8095625
train loss = 0.6898556351661682
val acc = 0.80446875
train loss = 0.7122666239738464
val acc = 0.81859375
train loss = 0.6913179755210876
val acc = 0.81115625
train loss = 0.6602017283439636
val acc = 0.822375
train loss = 0.6859062314033508
val acc = 0.827375
train loss = 0.6965040564537048
val acc = 0.8396875
train loss = 0.6559735536575317
val acc = 0.84096875
train loss = 0.6975613832473755
val acc = 0.8265625
train loss = 0.6903353929519653
val acc = 0.84146875
train loss = 0.6606476902961731
val acc = 0.83275
train loss = 0.7012876868247986
val acc = 0.84725
train loss = 0.6989664435386658
val acc = 0.854625
